p_name,p_hs,p_univ,p_draft,p_drafted,p_debut,p_debut_war,p_main_team,p_career_war,p_no,p_hs_code,p_hs_loc
김서현,서울고,,전면드래프트,한화,2023,-0.2,한화,-0.2,15421,50107,서울
윤영철,충암고,,전면드래프트,KIA,2023,2.3,KIA,2.3,15432,50114,서울
김민석,휘문고,,전면드래프트,롯데,2023,-0.2,롯데,-0.2,15253,50116,서울
신영우,경남고,,전면드래프트,NC,,,,,15450,50802,경남
이로운,대구고,,전면드래프트,SSG,2023,-0.1,SSG,-0.1,15461,50703,경북
김건희,원주고,,전면드래프트,키움,2023,-0.2,키움,-0.2,15472,50903,강원
김범석,경남고,,전면드래프트,LG,2023,-0.4,LG,-0.4,15484,50802,경남
이호성,인천고,,전면드래프트,삼성,2023,0.6,삼성,0.6,15496,50209,경기
최준호,북일고,,전면드래프트,두산,,,,,15508,50403,충청
김정운,대구고,,전면드래프트,KT,2023,0,KT,0,15518,50703,경북
문현빈,북일고,,전면드래프트,한화,2023,1.9,한화,1.9,15422,50403,충청
김동헌,충암고,,전면드래프트,키움,2023,0.5,키움,0.5,15473,50114,서울
이진하,장충고,,전면드래프트,롯데,2023,0.2,롯데,0.2,15441,50111,서울
박한결,경북고,,전면드래프트,NC,2023,0.3,NC,0.3,15451,50701,경북
송영진,대전고,,전면드래프트,SSG,2023,0.1,SSG,0.1,15462,50402,충청
오상원,선린고,,전면드래프트,키움,2023,-0.1,키움,-0.1,15474,50109,서울
김동규,성남고,,전면드래프트,LG,2023,-0.2,키움,-0.2,15485,50108,서울
박권후,전주고,,전면드래프트,삼성,2023,0,삼성,0,15497,50502,전라
김유성,김해고,고려대,전면드래프트,두산,2023,-0.2,두산,-0.2,15509,50809,경남
정준영,장충고,,전면드래프트,KT,2023,0.4,KT,0.4,15519,50111,서울
이민준,장충고,,전면드래프트,한화,2023,0,한화,0,15423,50111,서울
정해원,휘문고,,전면드래프트,KIA,,,,,15433,50116,서울
서현원,세광고,,전면드래프트,삼성,,,,,15498,50301,충청
신용석,마산고,,전면드래프트,NC,,,,,15452,50803,경남
김정민,경남고,,전면드래프트,SSG,2023,0,SSG,0,15463,50802,경남
박윤성,경남고,,전면드래프트,키움,,,,,15475,50802,경남
박명근,라온고,,전면드래프트,LG,2023,-0.3,LG,-0.3,15486,50215,경기
김재상,경기상고,,전면드래프트,삼성,2023,0,삼성,0,15499,50119,서울
장우진,북일고,,전면드래프트,두산,,,,,15510,50403,충청
손민석,경남고,,전면드래프트,KT,2023,0,KT,0,15520,50802,경남
김관우,마산고,,전면드래프트,한화,,,,,15424,50803,경남
김세일,용마고,,전면드래프트,KIA,,,,,15434,50807,경남
김기준,경북고,,전면드래프트,롯데,,,,,15442,50701,경북
목지훈,신일고,,전면드래프트,NC,,,,,15453,50110,서울
안현서,경기고,,전면드래프트,SSG,,,,,15464,50101,서울
이승원,덕수고,,전면드래프트,키움,2023,-0.2,키움,-0.2,15476,50103,서울
이준서,서울고,,전면드래프트,LG,,,,,15487,50107,서울
신윤호,장충고,,전면드래프트,삼성,,,,,15500,50111,서울
임서준,경동고,,전면드래프트,두산,,,,,15511,50102,서울
김건웅,성남고,,전면드래프트,KT,,,,,15521,50108,서울
김해찬,대전고,,전면드래프트,한화,,,,,15425,50402,충청
곽도규,공주고,,전면드래프트,KIA,2023,-0.2,KIA,-0.2,15435,50401,충청
정대선,세광고,,전면드래프트,롯데,2023,-0.4,롯데,-0.4,15443,50301,충청
강건준,배명고,,전면드래프트,NC,,,,,15454,50105,서울
김건웅,화순고,연세대,전면드래프트,SSG,2023,-0.1,SSG,-0.1,15465,50605,전라
송재선,신일고,한일장신대,전면드래프트,키움,2023,-0.1,키움,-0.1,15477,50110,서울
원상훈,한국 K-POP고,,전면드래프트,LG,,,,,15488,50404,충청
강준서,부산공고,동의대,전면드래프트,삼성,2023,-0.1,삼성,-0.1,15501,50806,경남
윤준호,경남고,동의대,전면드래프트,두산,,,,,15512,50802,경남
임정균,부산고,,전면드래프트,LG,,,,,15489,50805,경남
한서구,대전고,,전면드래프트,한화,,,,,15426,50402,충청
이송찬,광주동성고,,전면드래프트,KIA,,,,,15436,50601,전라
이태연,충암고,,전면드래프트,롯데,2023,-0.2,롯데,-0.2,15444,50114,서울
이준호,경남고,성균관대,전면드래프트,NC,2023,-0.2,NC,-0.2,15455,50802,경남
박세직,야탑고,,전면드래프트,SSG,,,,,15466,50207,경기
우승원,충암고,,전면드래프트,키움,,,,,15478,50114,서울
권동혁,라온고,,전면드래프트,LG,,,,,15490,50215,경기
김시온,율곡고,,전면드래프트,삼성,,,,,15502,50212,경기
한충희,광주제일고,,전면드래프트,두산,,,,,15513,50602,전라
이준희,휘문고,,전면드래프트,KT,,,,,15522,50116,서울
송성훈,대전고,,전면드래프트,한화,,,,,15427,50402,충청
이도현,휘문고,,전면드래프트,KIA,,,,,15437,50116,서울
석상호,청원고,고려대,전면드래프트,롯데,2023,0.3,롯데,0.3,15445,50113,서울
신성호,마산고,,전면드래프트,NC,,,,,15456,50803,경남
김민준,북일고,,전면드래프트,SSG,,,,,15467,50403,충청
박성빈,대전고,,전면드래프트,키움,,,,,15479,50402,충청
허용주,용마고,,전면드래프트,LG,,,,,15491,50807,경남
류승민,광주제일고,,전면드래프트,삼성,2023,-0.4,삼성,-0.4,15503,50602,전라
백승우,부산고,동아대,전면드래프트,두산,2023,0.2,두산,0.2,15514,50805,경남
류현인,진흥고,단국대,전면드래프트,KT,2023,-0.4,KT,-0.4,15523,50604,전라
최원준,청담고,,전면드래프트,한화,,,,,15428,50219,경기
박일훈,안산공고,,전면드래프트,KIA,,,,,15438,50206,경기
조경민,강릉고,,전면드래프트,롯데,,,,,15446,50901,강원
정주영,경북고,,전면드래프트,NC,,,,,15457,50701,경북
류현곤,청담고,,전면드래프트,SSG,,,,,15468,50219,경기
이호열,라온고,,전면드래프트,키움,,,,,15480,50215,경기
송대현,신일고,동국대,전면드래프트,LG,2023,-0.1,LG,-0.1,15492,50110,서울
김민호,청담고,,전면드래프트,삼성,,,,,15504,50219,경기
박민준,용마고,동강대,전면드래프트,두산,,,,,15515,50807,경남
황의준,경북고,수성대,전면드래프트,KT,,,,,15524,50701,경북
박재규,개성고,,전면드래프트,한화,,,,,15429,50801,경남
김도월,서울고,,전면드래프트,KIA,,,,,15439,50107,서울
정재환,부산고,,전면드래프트,롯데,,,,,15447,50805,경남
서동욱,신일고,,전면드래프트,NC,,,,,15458,50110,서울
이승훈,배재고,,전면드래프트,SSG,,,,,15469,50106,서울
변헌성,유신고,,전면드래프트,키움,,,,,15481,50208,경기
이철민,선린고,,전면드래프트,LG,,,,,15493,50109,서울
박시원,유신고,,전면드래프트,삼성,,,,,15505,50208,경기
김문수,경기고,,전면드래프트,두산,,,,,15516,50101,서울
정진호,청담고,,전면드래프트,KT,,,,,15525,50219,경기
천보웅,제물포고,구미대,전면드래프트,한화,,,,,15430,50210,경기
김재현,경기고,송원대,전면드래프트,KIA,,,,,15440,50101,서울
장세진,군산상고,,전면드래프트,롯데,2023,0,롯데,0,15448,50501,전라
배상호,경북고,,전면드래프트,NC,,,,,15459,50701,경북
김건이,선린고,강릉영동대,전면드래프트,SSG,,,,,15470,50109,서울
안겸,배재고,,전면드래프트,키움,,,,,15482,50106,서울
곽민호,배명고,,전면드래프트,LG,,,,,15494,50105,서울
박장민,대구고,,전면드래프트,삼성,,,,,15506,50703,경북
이준명,성남고,동의대,전면드래프트,KT,,,,,15526,50108,서울
김예준,강릉고,,전면드래프트,한화,,,,,15431,50901,강원
배인혁,인천고,,전면드래프트,롯데,,,,,15449,50209,경기
김주환,효천고,,전면드래프트,NC,,,,,15460,50606,전라
김준영,세광고,,전면드래프트,SSG,,,,,15471,50301,충청
서유신,화순고,원광대,전면드래프트,키움,,,,,15483,50605,전라
강민균,덕수고,홍익대,전면드래프트,LG,,,,,15495,50103,서울
박진우,청주고,,전면드래프트,삼성,,,,,15507,50302,충청
남율,휘문고,,전면드래프트,두산,,,,,15517,50116,서울
강건,장안고,,전면드래프트,KT,2023,0.2,KT,0.2,15527,50211,경기
산체스,,,자유선발,KIA,2023,0.1,KIA,0.1,15648,,국외
앤더슨,,,자유선발,KIA,2023,1.3,KIA,1.3,15533,,국외
메디나,,,자유선발,KIA,2023,-0.1,KIA,-0.1,15534,,국외
슐서,,,자유선발,KT,2023,0.3,KT,0.3,15542,,국외
오스틴,,,자유선발,LG,2023,5.7,LG,5.7,15532,,국외
태너,,,자유선발,NC,2023,1.9,NC,1.9,15653,,국외
마틴,,,자유선발,NC,2023,3.3,NC,3.3,15537,,국외
페디,,,자유선발,NC,2023,8,NC,8,15535,,국외
와이드너,,,자유선발,NC,2023,1.7,NC,1.7,15536,,국외
엘리아스,,,자유선발,SSG,2023,3.5,SSG,3.5,15644,,국외
로메로,,,자유선발,SSG,,,,,15529,,국외
에레디아,,,자유선발,SSG,2023,4.1,SSG,4.1,15530,,국외
맥카티,,,자유선발,SSG,2023,3.4,SSG,3.4,15528,,국외
로하스,,,자유선발,두산,2023,2.4,두산,2.4,15539,,국외
딜런,,,자유선발,두산,2023,-0.1,두산,-0.1,15538,,국외
윌커슨,,,자유선발,롯데,2023,3,롯데,3,12295,,국외
구드럼,,,자유선발,롯데,2023,0.1,롯데,0.1,15651,,국외
맥키니,,,자유선발,키움,2023,0.1,키움,0.1,15646,,국외
도슨,,,자유선발,키움,2023,1.8,키움,1.8,15652,,국외
후라도,,,자유선발,키움,2023,7.1,키움,7.1,15531,,국외
윌리엄스,,,자유선발,한화,2023,-0.8,한화,-0.8,15647,,국외
스미스,,,자유선발,한화,2023,0.1,한화,0.1,15540,,국외
산체스,,,자유선발,한화,2023,2.5,한화,2.5,15643,,국외
오그레디,,,자유선발,한화,2023,-0.9,한화,-0.9,15541,,국외
손호원,라온고,단국대,육성선수,KIA,,,,,15642,50215,경기
박승훈,서울고,연세대,육성선수,KIA,,,,,15641,50107,서울
이중석,야탑고,건국대,육성선수,KIA,,,,,15737,50207,경기
김주섭,대구고,고려대,육성선수,KIA,,,,,15620,50703,경북
최정태,휘문고,중앙대,육성선수,KT,,,,,15619,50116,서울
한민우,경남고,,육성선수,KT,,,,,16144,50802,경남
이동관,장안고,원광대,육성선수,KT,,,,,15617,50211,경기
정우성,포철고,동원과학대,육성선수,NC,,,,,15618,50710,경북
백현수,대구고,경희대,육성선수,KT,,,,,15616,50703,경북
노재원,배명고,,육성선수,NC,,,,,16012,50105,서울
박찬희,청원고,인하대,육성선수,NC,,,,,15621,50113,서울
김택우,유신고,연세대,육성선수,NC,,,,,15622,50208,경기
조강희,충훈고,연세대,육성선수,SSG,,,,,15615,50216,경기
이기석,원주고,부산과학기술대,육성선수,두산,,,,,15613,50903,강원
이정원,경주고,연세대,육성선수,두산,,,,,15611,50702,경북
배영빈,서울고,홍익대,육성선수,롯데,2023,0.3,롯데,0.3,15625,50107,서울
윤수녕,대전고,연세대,육성선수,롯데,2023,-0.1,롯데,-0.1,15627,50402,충청
서동욱,효천고,홍익대,육성선수,롯데,2023,-0.1,롯데,-0.1,15624,50606,전라
조준혁,광주제일고,인하대,육성선수,롯데,,,,,15623,50602,전라
박건,광주동성고,부산과학기술대,육성선수,롯데,,,,,15626,50601,전라
신우재,세광고,재능대,육성선수,한화,,,,,16011,50301,충청
김석훈,청주고,강릉영동대,육성선수,한화,,,,,15632,50302,충청
고영재,배명고,서울문화예술대,육성선수,한화,,,,,15629,50105,서울
이석제,장충고,고려대,육성선수,한화,,,,,15630,50111,서울
성지훈,광주제일고,동아대,육성선수,한화,,,,,15631,50602,전라
이정재,동산고,,육성선수,한화,,,,,15628,50202,경기
김도영,광주동성고,,1차지명,KIA,2022,2.2,KIA,6,15056,50601,전라
박영현,유신고,,1차지명,KT,2022,0.6,KT,2.6,15089,50208,경기
조원태,선린고,,1차지명,LG,2022,0.2,LG,0.2,15078,50109,서울
박성재,용마고,,1차지명,NC,,,,,15110,50807,경남
윤태현,인천고,,1차지명,SSG,2022,-0.1,SSG,-0.1,15023,50209,경기
이병헌,서울고,,1차지명,두산,2022,0.1,두산,0,15099,50107,서울
이민석,개성고,,1차지명,롯데,2022,-0.2,롯데,-0.1,15045,50801,경남
이재현,서울고,,1차지명,삼성,2022,0.1,삼성,3,15034,50107,서울
주승우,서울고,성균관대,1차지명,키움,2022,0,키움,-0.2,15067,50107,서울
문동주,진흥고,,1차지명,한화,2022,0.2,한화,3.1,15013,50604,전라
최지민,강릉고,,2차지명,KIA,2022,-0.1,KIA,0.2,15057,50901,강원
이상우,유신고,,2차지명,KT,2022,0,KT,0,15090,50208,경기
김주완,경남고,,2차지명,LG,2022,0.1,LG,0.1,15079,50802,경남
이준혁,율곡고,,2차지명,NC,,,,,15111,50212,경기
신헌민,광주동성고,,2차지명,SSG,2022,0,SSG,-0.1,15024,50601,전라
김동준,군산상고,,2차지명,두산,,,,,15100,50501,전라
조세진,서울고,,2차지명,롯데,2022,-0.6,롯데,-0.6,15046,50107,서울
김영웅,물금고,,2차지명,삼성,2022,0,삼성,0.2,15035,50811,경남
박찬혁,북일고,,2차지명,키움,2022,-0.7,키움,-1.2,15068,50403,충청
박준영,세광고,,2차지명,한화,2022,-0.2,한화,-0.3,15014,50301,충청
윤도현,광주제일고,,2차지명,KIA,2023,,KIA,-0.1,15058,50602,전라
한지웅,인천고,,2차지명,KT,,,,,15091,50209,경기
최용하,서울디자인고,,2차지명,LG,,,,,15080,50117,서울
박동수,덕수고,고려대,2차지명,NC,2022,0,NC,0,15112,50103,서울
김도현,백송고,,2차지명,SSG,,,,,15025,50213,경기
이원재,경남고,,2차지명,두산,2023,,두산,-0.1,15101,50802,경남
진승현,경북고,,2차지명,롯데,2022,-0.1,롯데,-0.1,15047,50701,경북
김재혁,제주고,동아대,2차지명,삼성,2022,0.3,삼성,0.3,15036,51001,제주
송정인,야탑고,,2차지명,키움,2022,-0.1,키움,-0.1,15069,50207,경기
허인서,효천고,,2차지명,한화,2022,-0.2,한화,-0.2,15015,50606,전라
강병우,배명고,,2차지명,KIA,,,,,15059,50105,서울
이주헌,성남고,,2차지명,LG,,,,,15081,50108,서울
김녹원,광주제일고,,2차지명,NC,,,,,15113,50602,전라
박상후,경북고,,2차지명,SSG,,,,,15026,50701,경북
신민철,휘문고,,2차지명,두산,,,,,15102,50116,서울
윤동희,야탑고,,2차지명,롯데,2022,-0.4,롯데,0.5,15048,50207,경기
김세민,강릉고,,2차지명,롯데,2022,0,롯데,0,15049,50901,강원
차동영,강릉고,,2차지명,삼성,,,,,15037,50901,강원
백진수,광주제일고,,2차지명,키움,,,,,15070,50602,전라
유민,배명고,,2차지명,한화,,,,,15016,50105,서울
김찬민,전주고,,2차지명,KIA,,,,,15060,50502,전라
안현민,마산고,,2차지명,KT,,,,,15092,50803,경남
이지훈,야탑고,,2차지명,LG,,,,,15082,50207,경기
조효원,공주고,원광대,2차지명,NC,,,,,15055,50401,충청
이한,유신고,,2차지명,NC,,,,,15114,50208,경기
전희범,인상고,,2차지명,두산,,,,,15103,50504,전라
신정환,상우고,,2차지명,삼성,,,,,15038,50217,경기
노운현,경남고,,2차지명,키움,2022,-0.1,키움,-0.1,15027,50802,경남
윤석원,부산고,,2차지명,키움,2023,,키움,-0.2,15071,50805,경남
양경모,북일고,,2차지명,한화,,,,,15017,50403,충청
이성주,경기고,,2차지명,KIA,,,,,15061,50101,서울
우종휘,휘문고,,2차지명,KT,,,,,15093,50116,서울
허준혁,경기고,한일장신대,2차지명,LG,2022,-0.1,LG,-0.1,15083,50101,서울
임지민,강원고,,2차지명,NC,2022,,NC,0,15115,50905,강원
이기순,동산고,,2차지명,SSG,2023,,SSG,0,15028,50202,경기
윤태호,인천고,,2차지명,두산,,,,,15104,50209,경기
하혜성,덕수고,,2차지명,롯데,,,,,15050,50103,서울
김서준,경기항공고,,2차지명,삼성,2022,0,삼성,-0.1,15039,50221,경기
주승빈,서울고,,2차지명,키움,,,,,15072,50107,서울
권광민,장충고,,2차지명,한화,2022,0,한화,-1,13676,50111,서울
백도렬,배재고,연세대,2차지명,KIA,,,,,15062,50106,서울
최동희,장충고,,2차지명,KT,,,,,15094,50111,서울
최원영,부산고,,2차지명,LG,,,,,15084,50805,경남
이주형,충암고,,2차지명,NC,,,,,15116,50114,서울
강매성,공주고,,2차지명,SSG,,,,,15029,50401,충청
정유석,용마고,,2차지명,두산,,,,,15105,50807,경남
한태양,덕수고,,2차지명,롯데,2022,-0.4,롯데,-0.4,15051,50103,서울
조민성,휘문고,,2차지명,삼성,2022,0.1,삼성,-0.2,15040,50116,서울
이명종,세광고,,2차지명,키움,2022,0,키움,0.2,15073,50301,충청
김겸재,부산정보고,단국대,2차지명,한화,,,,,15018,50810,경남
황동하,인상고,,2차지명,KIA,2023,,KIA,-0.1,15063,50504,전라
정정우,용마고,,2차지명,KT,,,,,15095,50807,경남
김성우,배재고,,2차지명,LG,,,,,15085,50106,서울
이현우,배명고,,2차지명,NC,,,,,15117,50105,서울
김태윤,배명고,,2차지명,SSG,,,,,15030,50105,서울
강동형,배명고,경성대,2차지명,두산,,,,,15106,50105,서울
김동혁,제물포고,강릉영동대,2차지명,롯데,2023,,롯데,0,15645,50210,경기
강도훈,상원고,,2차지명,삼성,,,,,15041,50705,경북
김리안,휘문고,,2차지명,키움,,,,,15074,50116,서울
이성민,부경고,,2차지명,한화,,,,,15019,50804,경남
한승연,전주고,,2차지명,KIA,,,,,15064,50502,전라
권성준,경북고,,2차지명,KT,2022,,,,15096,50701,경북
문정빈,서울고,,2차지명,LG,,,,,15086,50107,서울
오승택,상원고,동아대,2차지명,NC,,,,,15118,50705,경북
임성준,강릉고,강릉영동대,2차지명,SSG,,,,,15031,50901,강원
임준형,야탑고,,2차지명,두산,,,,,15107,50207,경기
엄장윤,부경고,,2차지명,롯데,,,,,15052,50804,경남
김상민,부산고,,2차지명,삼성,2023,,삼성,-0.4,15042,50805,경남
이세호,경주고,동아대,2차지명,키움,,,,,15075,50702,경북
이재민,상우고,호원대,2차지명,한화,2022,-0.1,한화,-0.1,15020,50217,경기
신명승,진흥고,,2차지명,KIA,,,,,15065,50604,전라
김병준,유신고,,2차지명,KT,2023,,KT,0,15097,50208,경기
양진혁,성남고,,2차지명,LG,,,,,15087,50108,서울
조민석,부천고,원광대,2차지명,NC,2022,-0.1,NC,0,15119,50203,경기
전영준,대구고,,2차지명,SSG,2022,0,SSG,0,15032,50703,경북
김시완,경동고,,2차지명,두산,,,,,15108,50102,서울
김서진,,,2차지명,롯데,,,,,15053,,국외
장재혁,경북고,,2차지명,삼성,,,,,15043,50701,경북
박정훈,개성고,,2차지명,키움,,,,,15076,50801,경남
신현수,설악고,,2차지명,한화,,,,,15021,50902,강원
손진규,장안고,송원대,2차지명,KIA,,,,,15066,50211,경기
송현제,동대문상고,고려대,2차지명,KT,,,,,15098,50121,서울
엄태경,휘문고,,2차지명,LG,,,,,15088,50116,서울
서준교,김해고,,2차지명,NC,,,,,15120,50809,경남
최유빈,장충고,,2차지명,SSG,,,,,15033,50111,서울
강산,서울컨벤션고,,2차지명,두산,,,,,15109,50120,서울
김용완,안산공고,,2차지명,롯데,,,,,15054,50206,경기
윤정훈,서울컨벤션고,,2차지명,삼성,,,,,15044,50120,서울
김민수,군산상고,연세대,2차지명,키움,,,,,15077,50501,전라
노석진,세광고,,2차지명,한화,,,,,15022,50301,충청
파노니,,,자유선발,KIA,2022,2.6,KIA,4.4,15147,,국외
소크라테스,도미니카 Liceo Cacique Enriquillo(고),,자유선발,KIA,2022,4.5,KIA,9.1,14996,51124,국외
놀린,미국 Seaford(고),미국 San Jacinto(대),자유선발,KIA,2022,4.3,KIA,4.3,14998,51123,국외
로니,미국 American Senior(고),,자유선발,KIA,2022,0,KIA,0,14997,51122,국외
벤자민,,,자유선발,KT,2022,3.1,KT,6,15143,,국외
알포드,,,자유선발,KT,2022,2.4,KT,7.2,15144,,국외
라모스,푸에르토리코 Alfonso Casta Martinez(고),,자유선발,KT,2022,0.4,KT,0.4,15000,51125,국외
플럿코,,미국 UCLA(대),자유선발,LG,2022,5.3,LG,9.8,15003,,국외
가르시아,,,자유선발,LG,2022,0.3,LG,0.3,15150,,국외
루이즈,미국 Bishop Amat Memorial(고),,자유선발,LG,2022,-0.2,LG,-0.2,15002,51121,국외
더모디,,,자유선발,NC,2022,0.2,NC,0.2,15154,,국외
마티니,미국 Prairie Ridge(고),미국 Kansas State(대),자유선발,NC,2022,2.3,NC,2.3,15008,51129,국외
크론,미국 Mountain Pointe(고),미국 Texas Christian(대),자유선발,SSG,2022,-0.1,SSG,-0.1,15006,51127,국외
모리만도,,,자유선발,SSG,2022,3.1,SSG,3.1,15149,,국외
노바,도미니카 Lic. Vespertino(고),,자유선발,SSG,2022,-0.5,SSG,-0.5,15007,51128,국외
라가레스,,,자유선발,SSG,2022,1.8,SSG,1.8,15151,,국외
스탁,,미국 Southern California(대),자유선발,두산,2022,2.7,두산,2.7,14999,,국외
브랜든,,,자유선발,두산,2022,1.6,두산,5.2,15153,,국외
피터스,,미국 Western Nevada(대),자유선발,롯데,2022,1.5,롯데,1.5,15009,,국외
반즈,,미국 Clemson(대),자유선발,롯데,2022,5.7,롯데,11.4,15011,,국외
렉스,,,자유선발,롯데,2022,2.9,롯데,3.1,15152,,국외
스파크맨,,미국 Wharton County Junior(대),자유선발,롯데,2022,1.3,롯데,1.3,15010,,국외
수아레즈,베네수엘라 Galileo Galilei(고),,자유선발,삼성,2022,6.7,삼성,9.2,15001,51126,국외
애플러,,미국 Sam Houston State(대),자유선발,키움,2022,2.3,키움,2.3,15005,,국외
푸이그,,쿠바 EIEFD(대),자유선발,키움,2022,3.5,키움,3.5,15004,,국외
페냐,,,자유선발,한화,2022,1.3,한화,5.5,15146,,국외
터크먼,미국 William Fremd(고),미국 Bradley(대),자유선발,한화,2022,4.1,한화,4.1,15012,51130,국외
라미레즈,,,자유선발,한화,2022,1.3,한화,1.3,15145,,국외
박상준,세광고,강릉영동대,육성선수,KIA,,,,,15125,50301,충청
윤민석,군산상고,성균관대,육성선수,KIA,,,,,15124,50501,전라
옥준호,덕수고,동강대,육성선수,KIA,,,,,15123,50103,서울
안광준,설악고,동국대,육성선수,KT,,,,,15126,50902,강원
임근우,휘문고,홍익대,육성선수,SSG,2022,,,,15122,50116,서울
석정우,경남고,연세대,육성선수,SSG,2022,0,SSG,0,15121,50802,경남
최지강,광주동성고,강릉영동대,육성선수,두산,2022,-0.1,두산,0,15127,50601,전라
천현재,부경고,성균관대,육성선수,두산,,,,,15128,50804,경남
이민석,부산공고,,육성선수,두산,,,,,15129,50806,경남
경우진,장충고,단국대,육성선수,롯데,,,,,15133,50111,서울
김동욱,덕수고,단국대,육성선수,롯데,,,,,15136,50103,서울
김승준,야탑고,연세대,육성선수,롯데,,,,,15134,50207,경기
민성우,인천고,인하대,육성선수,롯데,,,,,15135,50209,경기
류하성,광주제일고,경희대,육성선수,키움,,,,,15130,50602,전라
박수종,충암고,경성대,육성선수,키움,2023,,키움,1.4,15132,50114,서울
오성민,부산정보고,한일장신대,육성선수,키움,,,,,15131,50810,경남
한경빈,동산고,재능대,육성선수,한화,,,,,15633,50202,경기
민승기,경동고,,육성선수,한화,,,,,15137,50102,서울
전승우,신흥고,송원대,육성선수,한화,,,,,15138,50220,경기
이상혁,장안고,강릉영동대,육성선수,한화,2023,,한화,-0.2,15139,50211,경기
유상빈,인천고,강릉영동대,육성선수,한화,2022,0,한화,-0.1,15141,50209,경기
최현준,경북고,고려대,육성선수,한화,,,,,15142,50701,경북
김준석,북일고,강릉영동대,육성선수,한화,,,,,15140,50403,충청
이의리,광주제일고,,1차지명,KIA,2021,2.8,KIA,7.9,14788,50602,전라
신범준,장안고,,1차지명,KT,,,,,14774,50211,경기
강효종,충암고,,1차지명,LG,2022,,LG,0,14780,50114,서울
김건우,제물포고,,1차지명,SSG,2021,0.2,SSG,0.2,14803,50210,경기
안재석,서울고,,1차지명,두산,2021,1,두산,2.5,14771,50107,서울
손성빈,장안고,,1차지명,롯데,2021,0.1,롯데,0.6,14796,50211,경기
이승현,상원고,,1차지명,삼성,2021,0.5,삼성,0.9,14798,50705,경북
장재영,덕수고,,1차지명,키움,2021,-0.2,키움,0.6,14784,50103,서울
정민규,부산고,,1차지명,한화,2021,-0.3,한화,-0.6,14813,50805,경남
박건우,덕수고,고려대,2차지명,KIA,2021,0.1,KIA,0.1,14786,50103,서울
권동진,세광고,원광대,2차지명,KT,2021,0.4,KT,0.5,14777,50301,충청
이영빈,세광고,,2차지명,LG,2021,0.3,LG,0.4,14783,50301,충청
김주원,유신고,,2차지명,NC,2021,1,NC,7.5,14765,50208,경기
조형우,광주제일고,,2차지명,SSG,2022,,SSG,0,14806,50602,전라
김동주,선린고,,2차지명,두산,2022,,두산,1.6,14769,50109,서울
김진욱,강릉고,,2차지명,롯데,2021,0.3,롯데,0.5,14792,50901,강원
이재희,대전고,,2차지명,삼성,2021,0.5,삼성,0.6,14799,50402,충청
김휘집,신일고,,2차지명,키움,2021,-0.5,키움,0.6,14785,50110,서울
김기중,유신고,,2차지명,한화,2021,0.4,한화,0.9,14808,50208,경기
장민기,용마고,,2차지명,KIA,2021,0.1,KIA,0.1,14789,50807,경남
한차현,포철공고,성균관대,2차지명,KT,2021,-0.1,KT,-0.1,14776,50706,경북
김진수,군산상고,중앙대,2차지명,LG,2021,0,LG,0,14781,50501,전라
이용준,서울디자인고,,2차지명,NC,2021,0,NC,-0.1,14763,50117,서울
고명준,세광고,,2차지명,SSG,2021,-0.1,SSG,-0.1,14807,50301,충청
최승용,소래고,,2차지명,두산,2021,0,두산,2.8,14770,50205,경기
나승엽,덕수고,,2차지명,롯데,2021,-0.2,롯데,-0.2,14797,50103,서울
홍무원,경기고,,2차지명,삼성,,,,,14800,50101,서울
김준형,성남고,,2차지명,키움,2021,0.1,키움,0.5,14848,50108,서울
송호정,서울고,,2차지명,한화,2021,-0.4,한화,-0.4,14812,50107,서울
이승재,휘문고,강릉영동대,2차지명,KIA,2021,-0.3,KIA,-0.2,14787,50116,서울
유준규,군산상고,,2차지명,KT,2022,,KT,-0.1,14778,50501,전라
조건희,서울고,,2차지명,LG,,,,,14782,50107,서울
오장한,장안고,,2차지명,NC,2021,0,NC,0,14767,50211,경기
조병현,세광고,,2차지명,SSG,2021,-0.1,SSG,-0.1,14805,50301,충청
강현구,인천고,,2차지명,두산,2022,,두산,-0.1,14773,50209,경기
김창훈,경남고,,2차지명,롯데,2021,-0.2,롯데,-0.1,14793,50802,경남
오현석,안산공고,,2차지명,삼성,,,,,14801,50206,경기
김성진,부산정보고,계명대,2차지명,키움,2021,-0.2,키움,0.1,14849,50810,경남
조은,대전고,,2차지명,한화,,,,,14810,50402,충청
권혁경,신일고,,2차지명,KIA,2021,-0.3,KIA,-0.3,14790,50110,서울
지명성,신일고,,2차지명,KT,2021,0.1,KT,0.1,14775,50110,서울
이믿음,강릉고,강릉영동대,2차지명,LG,,,,,14847,50901,강원
한재승,인천고,,2차지명,NC,2022,,NC,0,14764,50209,경기
장지훈,김해고,동의대,2차지명,SSG,2021,1.3,SSG,1.4,14804,50809,경남
김도윤,청주고,,2차지명,두산,2021,0,두산,0,14768,50302,충청
송재영,라온고,,2차지명,롯데,2021,-0.3,롯데,-0.3,14794,50215,경기
주한울,배명고,,2차지명,삼성,,,,,14802,50105,서울
이주형,야탑고,,2차지명,키움,2021,0,키움,-0.2,14855,50207,경기
장규현,인천고,,2차지명,한화,2021,0,한화,0,14811,50209,경기
이영재,유신고,,2차지명,KIA,,,,,14826,50208,경기
김영현,광주동성고,,2차지명,KT,2023,,KT,0,14869,50601,전라
김형욱,부산고,,2차지명,LG,,,,,14844,50805,경남
